time(s)	origin signal	filtered signal
0	-0.0498749		-3.11063e-20
0.001	0.657649		-3.25153e-05
0.002	1.05613		0.000366741
0.003	1.22515		0.00142904
0.004	1.02222		0.00306715
0.005	0.704095		0.00462373
0.006	0.444942		0.00501179
0.007	0.426449		0.00312091
0.008	0.495724		-0.00143147
0.009	0.574554		-0.00768981
0.01	0.442939		-0.0131196
0.011	0.179291		-0.0143289
0.012	-0.382673		-0.00853764
0.013	-0.991726		0.00437541
0.014	-1.42307		0.0206744
0.015	-1.52403		0.0331748
0.016	-1.23279		0.0336847
0.017	-0.698227		0.0169173
0.018	-0.20089		-0.0157358
0.019	0.148716		-0.0544387
0.02	0.342745		-0.0823355
0.021	0.24092		-0.0802391
0.022	0.164437		-0.0332042
0.023	0.260471		0.0639536
0.024	0.559674		0.204225
0.025	0.987788		0.370215
0.026	1.2965		0.539387
0.027	1.31515		0.690268
0.028	0.983218		0.806902
0.029	0.3824		0.879743
0.03	-0.327269		0.903191
0.031	-0.783856		0.871845
0.032	-1.01487		0.778555
0.033	-0.94815		0.616014
0.034	-0.754476		0.382182
0.035	-0.513703		0.08689
0.036	-0.470311		-0.243882
0.037	-0.594694		-0.569445
0.038	-0.769859		-0.8421
0.039	-0.781236		-1.019
0.04	-0.437931		-1.0737
0.041	0.0908078		-1.00281
0.042	0.75772		-0.825165
0.043	1.27375		-0.574006
0.044	1.44614		-0.285966
0.045	1.25813		0.00822727
0.046	0.884598		0.287669
0.047	0.397293		0.538998
0.048	0.124996		0.750298
0.049	-0.0622964		0.905822
0.05	0.0279656		0.985031
0.051	0.0676219		0.967699
0.052	-0.0390923		0.842988
0.053	-0.373791		0.616759
0.054	-0.87724		0.31446
0.055	-1.30465		-0.0233121
0.056	-1.46558		-0.350634
0.057	-1.25145		-0.627585
0.058	-0.678116		-0.828102
0.059	-0.115766		-0.941646
0.06	0.463115		-0.969028
0.061	0.720693		-0.915529
0.062	0.789568		-0.785996
0.063	0.580576		-0.584701
0.064	0.449522		-0.319779
0.065	0.566351		-0.00891483
0.066	0.687768		0.317676
0.067	0.910652		0.619874
0.068	1.01874		0.856189
0.069	0.819279		0.994503
0.07	0.327654		1.0205
